CookerStat, GenerateAssetRegistry=0.026390, Initialize=0.136361, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
DDCTransactionId8002988E4C9C0EA82B8325971D4442D5_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B65784A347C025B6F__5F3139063FF83AD4722D2A1C8F95A8AC0B205692, StartTime=2016.05.04-16.45.15, HierarchicalDDC=, DataSize=837, Duration=3.917061, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_11, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/Runner.umap, AutoPackageBackupDelegate=8.727055, FlushAsyncLoading=0.006232, FlushStreamingFunc=0.068180, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=0.104468, TagPackageExports=0.313409, BeginCacheForCookedPlatformData=0.001833, SerializeImports=0.672273, GatherLocalizableTextData=2.947505, MarkNames=0.035923, SerializeSummary=0.013195, SerializeNames=0.234600, SerializeGatherableTextData=0.010628, BuildExportMap=0.115469, SortExportsNonSeekfree=0.061948, SortExportsSeekfreeConstructor=0.049118, SortExportsSeekfreeInner=6.477844, SortExportsSeekfree=0.003301, BuildDependencyMap=0.032991, SerializeImportMap=0.015028, SerializeExportMap=0.010632, SerializeDependencyMap=0.006232, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.367660, SerializeExports=1.106277, SerializeBulkData=0.888173, MoveFile=2.560787, UnaccountedTime=0.816695, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_12, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_UP.uasset, AutoPackageBackupDelegate=9.101316, FlushAsyncLoading=0.007696, FlushStreamingFunc=0.043988, BlockTillAllRequestsFinished=0.005864, ResetLoadersForSaveUnMarkAllObjects=0.095673, TagPackageExports=6.241780, BeginCacheForCookedPlatformData=0.002567, SerializeImports=7.001657, GatherLocalizableTextData=8.922067, MarkNames=0.056449, SerializeSummary=0.010997, SerializeNames=0.260990, SerializeGatherableTextData=0.078078, BuildExportMap=0.184011, SortExportsNonSeekfree=1.052760, SortExportsSeekfreeConstructor=0.049122, SortExportsSeekfreeInner=10.135744, SortExportsSeekfree=0.004031, BuildDependencyMap=0.083942, SerializeImportMap=0.014663, SerializeExportMap=0.042155, SerializeDependencyMap=0.026390, SerializeStringAssetReferenceMap=0.002202, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.630676, SerializeExports=8.564301, SerializeBulkData=0.006597, MoveFile=3.469121, UnaccountedTime=0.834655, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_13, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile.uasset, AutoPackageBackupDelegate=9.576008, FlushAsyncLoading=0.006597, FlushStreamingFunc=0.060115, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.078443, TagPackageExports=6.436054, BeginCacheForCookedPlatformData=0.002567, SerializeImports=6.767061, GatherLocalizableTextData=7.970843, MarkNames=0.057548, SerializeSummary=0.011362, SerializeNames=0.260994, SerializeGatherableTextData=0.094935, BuildExportMap=0.179984, SortExportsNonSeekfree=0.872411, SortExportsSeekfreeConstructor=0.046555, SortExportsSeekfreeInner=10.667253, SortExportsSeekfree=0.005133, BuildDependencyMap=0.124998, SerializeImportMap=0.013564, SerializeExportMap=0.041418, SerializeDependencyMap=0.015397, SerializeStringAssetReferenceMap=0.002563, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.309888, SerializeExports=8.314672, SerializeBulkData=0.005133, MoveFile=2.897292, UnaccountedTime=0.913464, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_14, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=6.169200, FlushAsyncLoading=0.003301, FlushStreamingFunc=0.046555, BlockTillAllRequestsFinished=0.004396, ResetLoadersForSaveUnMarkAllObjects=0.079177, TagPackageExports=5.907480, BeginCacheForCookedPlatformData=0.002198, SerializeImports=6.540526, GatherLocalizableTextData=8.260426, MarkNames=0.055715, SerializeSummary=0.010997, SerializeNames=0.259526, SerializeGatherableTextData=0.093471, BuildExportMap=0.184380, SortExportsNonSeekfree=1.011338, SortExportsSeekfreeConstructor=0.007331, SortExportsSeekfreeInner=9.002707, SortExportsSeekfree=0.003301, BuildDependencyMap=0.068914, SerializeImportMap=0.013929, SerializeExportMap=0.041790, SerializeDependencyMap=0.009894, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.077685, SerializeExports=8.050385, SerializeBulkData=0.006597, MoveFile=3.125288, UnaccountedTime=0.131961, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_15, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=9.153731, FlushAsyncLoading=0.005864, FlushStreamingFunc=0.062682, BlockTillAllRequestsFinished=0.004034, ResetLoadersForSaveUnMarkAllObjects=0.078075, TagPackageExports=11.274643, BeginCacheForCookedPlatformData=0.002932, SerializeImports=11.647805, GatherLocalizableTextData=10.823775, MarkNames=0.072949, SerializeSummary=0.010997, SerializeNames=0.259157, SerializeGatherableTextData=0.124995, BuildExportMap=0.215903, SortExportsNonSeekfree=2.312995, SortExportsSeekfreeConstructor=0.050582, SortExportsSeekfreeInner=17.646923, SortExportsSeekfree=0.003666, BuildDependencyMap=0.105202, SerializeImportMap=0.015762, SerializeExportMap=0.065248, SerializeDependencyMap=0.013564, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.720457, SerializeExports=15.937284, SerializeBulkData=0.008065, MoveFile=3.194567, UnaccountedTime=0.860684, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_16, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/Runner.umap, AutoPackageBackupDelegate=6.105051, FlushAsyncLoading=0.003301, FlushStreamingFunc=0.052050, BlockTillAllRequestsFinished=0.004034, ResetLoadersForSaveUnMarkAllObjects=0.084307, TagPackageExports=0.176683, BeginCacheForCookedPlatformData=0.001099, SerializeImports=0.498522, GatherLocalizableTextData=2.127878, MarkNames=0.016861, SerializeSummary=0.009898, SerializeNames=0.096038, SerializeGatherableTextData=0.071846, BuildExportMap=0.072945, SortExportsNonSeekfree=0.038125, SortExportsSeekfreeConstructor=0.064146, SortExportsSeekfreeInner=5.089316, SortExportsSeekfree=0.004031, BuildDependencyMap=0.025295, SerializeImportMap=0.007696, SerializeExportMap=0.007331, SerializeDependencyMap=0.038121, SerializeStringAssetReferenceMap=0.002198, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.324406, SerializeExports=0.671905, SerializeBulkData=0.004034, MoveFile=2.970599, UnaccountedTime=0.762444, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_17, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_UP.uasset, AutoPackageBackupDelegate=6.092224, FlushAsyncLoading=0.003666, FlushStreamingFunc=0.035189, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.077344, TagPackageExports=6.539427, BeginCacheForCookedPlatformData=0.002563, SerializeImports=6.900489, GatherLocalizableTextData=8.419510, MarkNames=0.062317, SerializeSummary=0.012830, SerializeNames=0.270888, SerializeGatherableTextData=0.094205, BuildExportMap=0.207473, SortExportsNonSeekfree=1.157962, SortExportsSeekfreeConstructor=0.060849, SortExportsSeekfreeInner=10.232151, SortExportsSeekfree=0.005133, BuildDependencyMap=0.084672, SerializeImportMap=0.018325, SerializeExportMap=0.047289, SerializeDependencyMap=0.007696, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.539402, SerializeExports=9.144932, SerializeBulkData=0.008799, MoveFile=3.491115, UnaccountedTime=0.892207, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_18, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=8.953955, FlushAsyncLoading=0.007331, FlushStreamingFunc=0.042520, BlockTillAllRequestsFinished=0.004034, ResetLoadersForSaveUnMarkAllObjects=0.083573, TagPackageExports=6.609075, BeginCacheForCookedPlatformData=0.003297, SerializeImports=8.255661, GatherLocalizableTextData=9.424984, MarkNames=0.061948, SerializeSummary=0.010632, SerializeNames=0.261724, SerializeGatherableTextData=0.086140, BuildExportMap=0.193179, SortExportsNonSeekfree=1.128636, SortExportsSeekfreeConstructor=0.050217, SortExportsSeekfreeInner=9.709436, SortExportsSeekfree=0.004034, BuildDependencyMap=0.079542, SerializeImportMap=0.014663, SerializeExportMap=0.046186, SerializeDependencyMap=0.012461, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.639840, SerializeExports=8.732919, SerializeBulkData=0.005133, MoveFile=2.905719, UnaccountedTime=0.786271, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_19, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile.uasset, AutoPackageBackupDelegate=8.976683, FlushAsyncLoading=0.005864, FlushStreamingFunc=0.067081, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.077710, TagPackageExports=6.856133, BeginCacheForCookedPlatformData=0.003301, SerializeImports=7.368948, GatherLocalizableTextData=8.937095, MarkNames=0.056449, SerializeSummary=0.010997, SerializeNames=0.238266, SerializeGatherableTextData=0.079542, BuildExportMap=0.177048, SortExportsNonSeekfree=0.996310, SortExportsSeekfreeConstructor=0.045087, SortExportsSeekfreeInner=9.639789, SortExportsSeekfree=0.005864, BuildDependencyMap=0.098605, SerializeImportMap=0.015397, SerializeExportMap=0.045452, SerializeDependencyMap=0.008065, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.960211, SerializeExports=9.167295, SerializeBulkData=0.005864, MoveFile=3.307838, UnaccountedTime=0.955254, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_20, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile.uasset, AutoPackageBackupDelegate=6.536491, FlushAsyncLoading=0.003301, FlushStreamingFunc=0.056818, BlockTillAllRequestsFinished=0.005130, ResetLoadersForSaveUnMarkAllObjects=0.077344, TagPackageExports=6.841105, BeginCacheForCookedPlatformData=0.002567, SerializeImports=7.423934, GatherLocalizableTextData=9.040833, MarkNames=0.058282, SerializeSummary=0.010263, SerializeNames=0.246696, SerializeGatherableTextData=0.078809, BuildExportMap=0.185847, SortExportsNonSeekfree=1.038097, SortExportsSeekfreeConstructor=0.048019, SortExportsSeekfreeInner=9.801075, SortExportsSeekfree=0.003666, BuildDependencyMap=0.078443, SerializeImportMap=0.014663, SerializeExportMap=0.046555, SerializeDependencyMap=0.008430, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.680893, SerializeExports=9.137601, SerializeBulkData=0.006597, MoveFile=3.188338, UnaccountedTime=0.840887, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
