CookerStat, GenerateAssetRegistry=6.909631, Initialize=51.136810, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId810E8F1A418DCA2FD12621ABB34EBAD9_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000100040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.16-09.50.33, Duration=841.293762, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId7C365118442E30D5D2131A8B85D5FC6A_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___78CB0EA2B3733B74197BCF2DC92F9DC736E12A33, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=4194565, Duration=10.333635, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___429E786ABD5F7ADDD9A82AB45831812DE21E15EA, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=1048837, Duration=2.163358, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___6FFA20701625D5E6662B8D55C8AB2F6D7FD4ADA7, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=262403, Duration=0.890072, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___8374DC82EC074BEE59C6AC514B8E5E0D23DCED6F, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=65795, Duration=0.246517, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___DAB386AE9223C21A0915874BC00F105B31A0711F, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=16643, Duration=0.159211, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___1849135EDDDB35D2BEDDBEF796F12963E2999359, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=7468, Duration=0.117730, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId810E8F1A418DCA2FD12621ABB34EBAD9_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0DC0990F49234ECFCFAF8386DE16C418_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.16-09.50.34, Duration=721.828247, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0DC0990F49234ECFCFAF8386DE16C__1C1F45E51CF93D36CA4D47817D0621FE5AE17125, StartTime=2016.06.16-09.50.34, HierarchicalDDC=, DataSize=2097417, Duration=5.599212, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0DC0990F49234ECFCFAF8386DE16C__83B7C228A349534F487278018CF91C1333C25E36, StartTime=2016.06.16-09.50.34, HierarchicalDDC=, DataSize=524553, Duration=1.210470, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
